일시,실효습도
20170101,57.47292
20170102,57.37625
20170103,56.26225
20170104,54.27375
20170105,57.61926900000001
20170106,53.998425000000005
20170107,48.472497000000004
20170108,47.183352
20170109,48.212784
20170110,49.709673
20170111,48.56428200000001
20170112,44.667753000000005
20170113,40.911012
20170114,34.785759000000006
20170115,32.908029
20170116,34.119798
20170117,33.627738
20170118,32.688207000000006
20170119,36.416472000000006
20170120,41.958669
20170121,49.45221300000001
20170122,54.36972900000001
20170123,51.62872199999999
20170124,53.58514800000001
20170125,50.066358
20170126,42.690672
20170127,42.407979000000005
20170128,42.577110000000005
20170129,44.688633
20170130,46.577832
20170131,42.166704
20170201,43.172055
20170202,49.199037
20170203,44.523672
20170204,42.28984199999999
20170205,46.63791900000001
20170206,51.22770000000001
20170207,53.78116200000001
20170208,52.410363
20170209,48.5145
20170210,40.225929
20170211,38.878632
20170212,39.778899
20170213,39.648557999999994
20170214,39.81132
20170215,41.64036300000001
20170216,44.631807
20170217,45.872516999999995
20170218,43.547592
20170219,47.3946
20170220,49.253214
20170221,45.648333
20170222,45.925914000000006
20170223,48.49951200000001
20170224,43.837299
20170225,44.14867800000001
20170226,50.97272400000001
20170227,45.169242000000004
20170228,43.345305
20170301,44.6181
20170302,40.768784999999994
20170303,39.530982
20170304,44.76606000000001
20170305,51.323148
20170306,48.436479000000006
20170307,46.39609500000001
20170308,46.610568
20170309,44.279259
20170310,35.264292
20170311,35.371482
20170312,38.665812
20170313,37.138254
20170314,35.484345000000005
20170315,37.177197
20170316,40.092564
20170317,35.351013
20170318,31.614813
20170319,31.68567
20170320,33.218112000000005
20170321,33.004803
20170322,31.040874000000002
20170323,32.17884
20170324,33.523242
20170325,33.536493
20170326,31.119782999999998
20170327,35.254512000000005
20170328,40.099554000000005
20170329,43.49666700000001
20170330,48.125310000000006
20170331,51.078618000000006
20170401,48.441555
20170402,47.39844300000001
20170403,47.468058000000006
20170404,48.925599
20170405,44.39055
20170406,43.969199999999994
20170407,44.96124300000001
20170408,50.053725
20170409,60.669738
20170410,60.243714000000004
20170411,50.14172400000001
20170412,44.01557400000001
20170413,34.84044000000001
20170414,28.399737000000002
20170415,33.792492
20170416,36.313947
20170417,47.324205
20170418,49.973445
20170419,49.680843
20170420,48.785652
20170421,51.09205500000001
20170422,47.97490200000001
20170423,38.631060000000005
20170424,39.553782
20170425,41.13956399999999
20170426,37.14960000000001
20170427,35.338854000000005
20170428,37.468539
20170429,39.831699
20170430,36.730107
20170501,40.702133999999994
20170502,43.25688
20170503,39.69462299999999
20170504,40.861398
20170505,37.405542
20170506,33.970020000000005
20170507,33.597078
20170508,36.522048000000005
20170509,37.997718
20170510,36.65493000000001
20170511,43.35345900000001
20170512,48.833718000000005
20170513,56.680673999999996
20170514,58.343168999999996
20170515,56.484311999999996
20170516,57.063975
20170517,54.543794999999996
20170518,47.59490700000001
20170519,46.07548800000001
20170520,42.67716
20170521,38.503443000000004
20170522,36.794298000000005
20170523,39.504180000000005
20170524,42.528012000000004
20170525,45.181728
20170526,46.920285
20170527,47.378133000000005
20170528,42.184908
20170529,38.829894
20170530,39.061724999999996
20170531,41.553423
20170601,43.336044
20170602,42.916841999999995
20170603,37.99338
20170604,38.291307
20170605,36.057609
20170606,33.63267
20170607,38.601642
20170608,41.135678999999996
20170609,47.978664
20170610,57.640524000000006
20170611,59.063934
20170612,48.482985000000006
20170613,44.95644
20170614,38.84709
20170615,39.933372
20170616,46.58123400000001
20170617,50.811789000000005
20170618,49.33383
20170619,47.143227
20170620,43.730712000000004
20170621,42.346938
20170622,42.208659000000004
20170623,41.82996000000001
20170624,42.293412000000004
20170625,47.25022200000001
20170626,50.496567
20170627,52.44283500000001
20170628,56.777955000000006
20170629,59.89319400000001
20170630,57.994197
20170701,55.193118000000005
20170702,56.437455
20170703,59.720478
20170704,62.909775
20170705,66.447057
20170706,68.589279
20170707,65.018994
20170708,61.341519000000005
20170709,62.04080999999999
20170710,66.909195
20170711,70.46209200000001
20170712,71.498637
20170713,71.55504
20170714,69.43405200000001
20170715,64.24503
20170716,62.900202
20170717,62.896779
20170718,65.22958799999999
20170719,69.013782
20170720,65.20944300000001
20170721,62.678883
20170722,61.872564000000004
20170723,60.29320500000001
20170724,61.461219
20170725,64.090293
20170726,64.233858
20170727,63.778815
20170728,59.389413
20170729,54.778358999999995
20170730,55.422102
20170731,61.27392900000001
20170801,66.00666
20170802,60.002757
20170803,59.097528
20170804,61.154043
20170805,56.62938
20170806,54.79235700000001
20170807,52.365753000000005
20170808,53.670002999999994
20170809,55.69708200000001
20170810,59.04275700000001
20170811,58.75468500000001
20170812,59.092959
20170813,60.134433000000016
20170814,62.311215000000004
20170815,57.243864
20170816,56.503935
20170817,60.43056300000001
20170818,65.16055800000001
20170819,69.617814
20170820,66.140088
20170821,65.856285
20170822,66.122868
20170823,68.11896300000001
20170824,70.971249
20170825,64.874727
20170826,61.675245
20170827,62.316210000000005
20170828,58.245693
20170829,50.353332
20170830,49.424034000000006
20170831,51.743292000000004
20170901,51.38123999999999
20170902,46.32297
20170903,48.757020000000004
20170904,49.613814000000005
20170905,48.628692
20170906,50.907824999999995
20170907,52.71954900000001
20170908,52.747095
20170909,57.34515300000001
20170910,60.530619
20170911,59.863164
20170912,58.325478000000004
20170913,57.944619
20170914,56.250234000000006
20170915,52.000871999999994
20170916,43.75328700000001
20170917,41.085549
20170918,42.088554
20170919,44.90979300000001
20170920,46.936257000000005
20170921,49.364829
20170922,52.914894000000004
20170923,53.70611400000001
20170924,47.973165
20170925,51.75369
