현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,lon,lat,실효습도,가스사용량(KWh),전기사용량(KWh),화재발생시각,인명피해확률,회귀예측,지수,등급,인덱스
1,1.6,0.7,688,127.0307849,37.6379406,48.472497,5257.083333,5257.083333,새벽,5.81574519,81.03185076,21.7085374,2등급,40
0,1.1,0.7,740,126.9019921,37.5188746,48.472497,125.5833333,125.5833333,새벽,7.117389358,78.8353687,23.68759199,2등급,41
3,2.5,2.6,566,126.8859646,37.4722767,48.472497,37732.08333,37732.08333,주간,2.28751924,86.23554646,14.0451227,3등급,42
2,2.5,2.6,566,126.9506263,37.4972639,48.472497,3252,3252,주간,3.165585462,83.25947319,16.23468441,3등급,43
3,5.8,1.2,866,126.9005516,37.4692588,48.472497,7817.416667,7817.416667,주간,3.06550525,83.387765,15.9882967,3등급,44
2,8.7,1,782,127.084547,37.5812694,48.472497,3390.75,3390.75,주간,3.514939895,80.88697622,16.8615794,3등급,45
2,8.7,1,782,126.9572986,37.4827901,48.472497,6152.25,6152.25,주간,3.471223899,80.96983416,16.76497609,3등급,46
1,9.4,2.9,719,127.022576,37.5479272,48.472497,2836.166667,2836.166667,주간,4.461385004,78.13871599,18.67101753,3등급,47
2,9.3,1.9,703,127.0272827,37.5076581,48.472497,3439.416667,3439.416667,주간,3.53733844,80.67627592,16.89317294,3등급,48
1,9.2,2.5,639,127.0342023,37.5623212,48.472497,52604.16667,52604.16667,주간,3.293479952,80.28913792,16.26132424,3등급,49
1,4.4,1.4,888,127.0431514,37.5832014,48.472497,16928.41667,16928.41667,저녁,3.200480578,76.51168175,15.64845524,3등급,50
2,4.4,1.4,888,127.0292832,37.4988997,48.472497,6994.833333,6994.833333,저녁,2.849587566,78.15513695,14.92346831,3등급,51
1,4.1,1.6,899,127.1312951,37.5492073,48.472497,190,190,밤,54.89202242,15.35529047,29.03244648,2등급,52
2,4.6,2.6,1206,126.919215,37.4641999,47.183352,3273.75,3273.75,새벽,8.188296704,78.26317554,25.31485932,2등급,53
1,4.6,2.6,1206,126.9359642,37.5202576,47.183352,242835.5,242835.5,새벽,3.35581392,83.5096411,16.74045448,3등급,54
1,4.1,1.6,1796,127.1442938,37.5414881,47.183352,5014,5014,새벽,12.74587819,74.00468638,30.71245216,2등급,55
3,6.7,3,1795,126.8798669,37.5366796,47.183352,81810.16667,81810.16667,주간,4.71523891,79.60127893,19.37366893,3등급,56
2,9.2,2.3,1964,127.0270202,37.5019062,47.183352,6927.083333,6927.083333,주간,8.276408234,74.06409409,24.75852738,2등급,57
2,9.2,2.3,1964,126.9161602,37.5123207,47.183352,9530,9530,주간,8.18652528,74.14219378,24.63669912,2등급,58
3,8.2,2.8,1897,127.0609728,37.6603705,47.183352,11080.5,11080.5,저녁,5.4068432,73.04609181,19.87331791,3등급,59
3,8.2,2.8,1897,127.1212653,37.4807703,47.183352,74422.5,74422.5,저녁,4.090308504,74.94664856,17.50870966,3등급,60
1,7.4,3.2,1974,126.8558569,37.5553977,47.183352,3837.083333,3837.083333,저녁,8.046382325,68.62998719,23.49942799,2등급,61
2,4,3.4,822,126.9830329,37.5671748,48.212784,11243.41667,11243.41667,새벽,6.365658973,80.40446852,22.6236033,2등급,62
1,4,3.4,822,126.9363154,37.6008511,48.212784,1878.8,1878.8,새벽,7.693555757,78.1819769,24.5254439,2등급,63
1,3.8,3.3,883,126.9007249,37.5189092,48.212784,17982.5,17982.5,새벽,7.416459511,78.46701116,24.1235862,2등급,64
2,3.4,2.4,767,127.0777025,37.6145477,48.212784,160059.5833,160059.5833,새벽,2.969506049,85.80874683,15.96275643,3등급,65
2,2.5,3.5,734,127.0146677,37.4915749,48.212784,35053.5,35053.5,주간,3.259806283,82.91061701,16.43996807,3등급,66
2,1.7,2.4,433,126.9970845,37.561224,48.212784,11091.58333,11091.58333,주간,2.739888157,84.49171111,15.21505303,3등급,67
3,1.7,2.4,433,127.1680933,37.5467709,48.212784,3544.916667,3544.916667,주간,2.407027397,86.206785,14.40493295,3등급,68
1,2.3,2.9,445,126.9947845,37.5349593,48.212784,1516.916667,1516.916667,주간,3.51803577,81.77423772,16.96127039,3등급,69
3,2.3,2.9,445,127.1226407,37.5108818,48.212784,10039.16667,10039.16667,주간,2.444147376,85.91296362,14.49082277,3등급,70
1,3.2,3.7,527,127.0102751,37.6203504,48.212784,4015.166667,4015.166667,주간,3.891637417,80.76794587,17.72905977,3등급,71
1,3.2,3.7,527,126.8786978,37.5844245,48.212784,29534.08333,29534.08333,주간,3.468638094,81.53363292,16.8169755,3등급,72
1,3.2,3.7,527,126.8521764,37.5085407,48.212784,45505.91667,45505.91667,주간,3.225385436,82.01286274,16.26416592,3등급,73
0,3.6,4,783,127.0509423,37.5860129,48.212784,6596.25,6596.25,주간,5.440575009,77.33407976,20.51199312,2등급,74
2,3.6,4,783,127.0288118,37.5047778,48.212784,222.75,222.75,주간,4.105237642,81.02586338,18.23815847,3등급,75
3,3.7,3.7,990,126.9805024,37.4782905,48.212784,6328.5,6328.5,주간,3.855927671,82.20591722,17.80393414,3등급,76
2,3.5,3.3,954,126.9623493,37.5425586,48.212784,30912.83333,30912.83333,주간,3.845158831,81.43574501,17.69557498,3등급,77
2,3.5,3.3,954,127.1449063,37.5512594,48.212784,112,112,주간,4.411308158,80.51157571,18.84572553,3등급,78
2,2.4,3.7,980,127.0435258,37.6827461,48.212784,1149.75,1149.75,주간,4.531910444,80.58381926,19.11017143,3등급,79
2,0,3.3,1062,127.0557811,37.5112366,48.212784,7110.75,7110.75,저녁,3.482930494,77.79613529,16.46081808,3등급,80
1,0,3.3,1062,126.8274367,37.5521618,48.212784,36641,36641,저녁,3.572917312,76.7406719,16.5586254,3등급,81
